                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1833,                 2.4665,                 1.5713,                0.00333,                      1,                 0.8822,                  0.472,                0.89765,                 3.2037,                 1.5983,                0.00022,                0.00022,                0.00022
                      2,                 1.0414,                 1.5049,                  1.463,                0.81977,                0.89474,                0.96493,                0.65573,                 1.0062,                  3.097,                 1.6499,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.0481,                  1.325,                 1.4258,                0.95762,                0.52632,                0.90641,                0.53373,                 1.1643,                 3.0397,                 1.9413,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.0912,                 1.2496,                 1.4571,                0.87374,                0.72889,                0.83338,                0.45463,                 1.1591,                 2.8605,                 2.0531,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.1119,                 1.2469,                 1.4817,                0.87864,                0.68421,                0.86362,                0.32273,                 1.5296,                 3.1365,                  2.887,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1822,                 1.2176,                 1.5097,                0.74472,                0.57895,                0.70727,                0.20254,                 1.5722,                 3.7633,                 2.5819,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.0891,                 1.1111,                 1.3942,                0.59188,                0.57895,                 0.5472,                0.26073,                   1.89,                 4.4443,                 3.3302,               0.001167,               0.001167,               0.001167
                      8,                 1.0654,                 1.0369,                  1.448,                0.56164,                0.57895,                0.59726,                0.23596,                 1.7692,                 2.4381,                 2.6332,              0.0012416,              0.0012416,              0.0012416
                      9,                  1.107,                 1.1036,                 1.4544,                0.82546,                0.99582,                0.91831,                0.44206,                 1.4171,                 1.8192,                 2.0739,               0.001208,               0.001208,               0.001208
                     10,                  1.051,                 1.0609,                 1.4364,                0.84717,                0.94737,                0.94811,                0.58911,                 1.2484,                  1.656,                 2.0115,               0.001208,               0.001208,               0.001208
                     11,                 1.0302,                 1.4657,                 1.6202,                0.71915,                0.36842,                0.42028,                0.23263,                 1.9316,                 2.6461,                 3.1337,               0.001109,               0.001109,               0.001109
                     12,                   1.01,                 1.2928,                 1.6077,                0.92827,                0.78947,                0.77572,                0.51255,                 1.5113,                  1.728,                 2.2708,                0.00101,                0.00101,                0.00101
                     13,                0.99822,                 1.1469,                 1.5875,                0.90456,                0.57895,                0.73195,                0.33418,                 1.5663,                 2.0626,                 2.0864,               0.000911,               0.000911,               0.000911
                     14,                0.94239,                 1.1419,                 1.5103,                0.99443,                0.94737,                0.96259,                 0.6492,                 1.1355,                  1.144,                 1.7375,               0.000812,               0.000812,               0.000812
                     15,                 0.9435,                   1.09,                 1.4791,                0.99478,                0.94737,                0.97565,                0.69073,                 1.0557,                 1.0329,                  1.747,               0.000713,               0.000713,               0.000713
                     16,                0.84524,                 1.0246,                 1.4343,                0.99416,                0.94737,                0.97667,                0.71278,                 1.0485,                 1.0099,                 1.7462,               0.000614,               0.000614,               0.000614
                     17,                0.83663,                0.94884,                 1.3962,                      1,                0.99926,                  0.995,                0.75519,                 1.0199,                0.88868,                 1.6393,               0.000515,               0.000515,               0.000515
                     18,                0.82077,                0.92401,                  1.379,                0.99454,                0.94737,                 0.9925,                0.72508,                 1.0431,                0.86318,                 1.6479,               0.000416,               0.000416,               0.000416
                     19,                0.78984,                0.86407,                 1.3326,                      1,                0.99613,                  0.995,                0.69707,                 1.0488,                 0.8651,                 1.6979,               0.000317,               0.000317,               0.000317
                     20,                0.75662,                0.82437,                 1.3071,                      1,                0.99715,                  0.995,                0.71888,                0.99191,                0.85192,                 1.6306,               0.000218,               0.000218,               0.000218
